Tissue	Spearman_rho_var/mean_dnds_mouse	p-value_var/mean_dnds_mouse	Spearman_rho_var/mean_dn_mouse	p-value_var/mean_dn_mouse	Spearman_rho_var/mean_ds_mouse	p-value_var/mean_ds_mouse	Spearman_rho_var_dnds_mouse	p-value_var_dnds_mouse	Spearman_rho_var_dn_mouse	p-value_var_dn_mouse	Spearman_rho_var_ds_mouse	p-value_rho_var_ds_mouse	Spearman_rho_mean_dnds_mouse	p-value_mean_dnds_mouse	Spearman_rho_mean_dn_mouse	p-value_mean_dn_mouse	Spearman_rho_mean_ds_mouse	p-value_mean_ds_mouse	Spearman_rho_var/mean_dnds_chimp	p-value_var/mean_dnds_chimp	Spearman_rho_var/mean_dn_chimp	p-value_var/mean_dn_chimp	Spearman_rho_var/mean_ds_chimp	p-value_var/mean_ds_chimp	Spearman_rho_var_dnds_chimp	p-value_var_dnds_chimp	Spearman_rho_var_dn_chimp	p-value_var_dn_chimp	Spearman_rho_var_ds_chimp	p-value_rho_var_ds_chimp	Spearman_rho_mean_dnds_chimp	p-value_mean_dnds_chimp	Spearman_rho_mean_dn_chimp	p-value_mean_dn_chimp	Spearman_rho_mean_ds_chimp	p-value_mean_ds_chimp
Adipose_Subcutaneous	-0.19794039	4.14E-155	-0.187766396	1.69E-139	-0.014545006	0.053557259	-0.273966585	5.53E-302	-0.308545307	0	-0.142708299	4.12E-81	-0.301384405	0	-0.359382031	0	-0.21395277	3.36E-182	-0.181040216	2.82E-112	-0.134894808	1.04E-66	0.043507847	2.99E-08	-0.238746795	9.30E-197	-0.229347144	4.02E-193	-0.034018804	1.43E-05	-0.254773594	1.07E-224	-0.269746835	3.62E-269	-0.082135788	9.36E-26
Adipose_Visceral_Omentum	-0.175815466	4.75E-122	-0.185739591	3.11E-136	-0.03678091	1.07E-06	-0.255405155	2.24E-261	-0.293067282	0	-0.136512143	2.57E-74	-0.296465283	0	-0.350421535	0	-0.197855494	1.39E-155	-0.172599476	5.90E-102	-0.14609289	6.03E-78	0.012890064	0.100958539	-0.229486487	1.54E-181	-0.223891924	6.60E-184	-0.037742398	1.47E-06	-0.25475433	1.16E-224	-0.265935262	2.15E-261	-0.074685121	1.46E-21
Adrenal_Gland	-0.248224839	4.22E-245	-0.261897339	1.33E-273	-0.073299065	2.22E-22	-0.292105721	0	-0.336553996	0	-0.165861055	2.78E-109	-0.303184405	0	-0.363863105	0	-0.216382888	2.05E-186	-0.198485373	8.29E-135	-0.173834744	4.95E-110	0.002742178	0.727173223	-0.236863392	1.31E-193	-0.238237958	1.14E-208	-0.052088753	2.98E-11	-0.245109257	1.33E-207	-0.264612634	1.00E-258	-0.088953149	6.13E-30
Artery_Aorta	-0.225710422	3.23E-202	-0.235037562	1.38E-219	-0.056321933	7.47E-14	-0.287029265	0	-0.327960814	0	-0.157987173	3.32E-99	-0.313125362	0	-0.372868276	0	-0.219456599	8.03E-192	-0.201192831	1.10E-138	-0.17178956	1.41E-107	0.008717565	0.26711107	-0.242887021	8.85E-204	-0.240767148	3.26E-213	-0.046482207	3.01E-09	-0.255873545	1.09E-226	-0.272741497	2.30E-275	-0.085092156	1.58E-27
Artery_Coronary	-0.215320125	2.23E-183	-0.222378658	9.02E-196	-0.04421947	4.52E-09	-0.282508132	8.89318162514244e-322	-0.32026897	0	-0.145477813	3.00E-84	-0.312269521	0	-0.370187319	0	-0.212330585	2.05E-179	-0.190037642	1.67E-123	-0.155503338	3.94E-88	0.027821004	0.000400751	-0.24124143	5.68E-201	-0.233161116	1.04E-199	-0.032321624	3.74E-05	-0.259874222	5.10E-234	-0.27339226	1.01E-276	-0.079662085	2.55E-24
Artery_Tibial	-0.260786436	1.47E-271	-0.276751142	6.12E-307	-0.084408258	3.32E-29	-0.312972776	0	-0.361829485	0	-0.187260547	2.75E-139	-0.326446928	0	-0.393604417	0	-0.243638689	2.60E-237	-0.219233048	7.79E-165	-0.196189369	2.90E-140	-0.002951646	0.707190584	-0.259299674	5.87E-233	-0.263772962	4.87E-257	-0.061320782	4.98E-15	-0.264782767	3.44E-243	-0.28776017	1.18E-307	-0.098266998	3.41E-36
Bladder	-0.173360169	3.62E-117	-0.180777486	2.10E-127	-0.042627104	1.93E-08	-0.264500404	7.25E-281	-0.303409536	0	-0.145724734	1.56E-84	-0.308693464	0	-0.364924275	0	-0.208490627	6.48E-173	-0.15888158	1.27E-85	-0.129853671	3.33E-61	0.019979753	0.011434503	-0.229970925	2.55E-182	-0.221033986	3.55E-179	-0.032315714	3.75E-05	-0.259197768	9.05E-233	-0.268625677	7.23E-267	-0.075162357	8.08E-22
Brain_Amygdala	-0.348145698	0	-0.359960983	0	-0.106589791	3.21E-45	-0.391569278	0	-0.431316285	0	-0.183245267	2.31E-133	-0.403586842	0	-0.456454398	0	-0.221755492	6.40E-196	-0.256826464	5.84E-226	-0.230875825	1.48E-193	-0.003128388	0.691591565	-0.299187811	4.090230304813e-313	-0.28831277	0.00E+00	-0.038593022	8.50E-07	-0.306212301	0	-0.307058561	0	-0.063532199	5.05E-16
Brain_Anterior_cingulate_cortex_BA24	-0.388171057	0	-0.413379826	0	-0.151321886	6.08E-90	-0.418659021	0	-0.463723127	0	-0.205183895	2.02E-167	-0.422200467	0	-0.475218705	0	-0.227389879	3.65E-206	-0.288823729	2.99E-288	-0.268882891	9.08E-265	-0.020791929	0.008322705	-0.317823817	0	-0.307340516	0	-0.044303396	1.58E-08	-0.317439136	0	-0.314109725	0	-0.058866952	5.75E-14
Brain_Caudate_basal_ganglia	-0.336650626	0	-0.353657023	0	-0.115408939	4.21E-53	-0.38314244	0	-0.425401649	0	-0.187984973	2.26E-140	-0.398938067	0	-0.453575228	0	-0.225228564	3.35E-202	-0.252943189	3.09E-220	-0.230006559	3.45E-193	-0.009196081	0.242187344	-0.292829773	1.95E-299	-0.285450341	1.48E-302	-0.043943198	2.06E-08	-0.302769224	5.65211098842386e-321	-0.305611535	0	-0.065905229	3.96E-17
