Gene	Mean_RPKM	SD_RPKM
ENSG00000223972.4	0.0099888454824686	0.0196232162974768
ENSG00000227232.4	11.104689699173	3.26510277603317
ENSG00000243485.2	0.0605813073813915	0.04769374649883
ENSG00000237613.2	0.000471053324639798	0.00328253277482508
ENSG00000268020.2	0.000397191017866134	0.00444073058000505
ENSG00000240361.1	0.0010443113297224	0.00606476710418716
ENSG00000186092.4	0	0
ENSG00000238009.2	0.135412196874619	0.0757578983061525
ENSG00000233750.3	0.01414062724635	0.0173433099931294
ENSG00000237683.5	2.49247817540169	1.77760034771075
ENSG00000268903.1	1.24945929372311	1.01973023446762
ENSG00000269981.1	1.97370113378763	1.72740976708545
ENSG00000239906.1	0.483532431542873	0.435067234600799
ENSG00000241860.2	0.0984844780936837	0.0508036989050251
ENSG00000222623.1	0	0
ENSG00000241599.1	0.000736638098955154	0.00581096690732869
ENSG00000228463.4	1.17944558155537	0.474059817611145
ENSG00000241670.2	0.790879257023334	0.416916391893889
ENSG00000237094.7	0.712531292438507	0.272122759355531
ENSG00000250575.1	0.0208096355721354	0.178483621023256
ENSG00000233653.3	0.00717997986078262	0.00966058778523784
ENSG00000224813.2	0.0259410895705223	0.0568319009695976
ENSG00000235249.1	0	0
ENSG00000269732.1	0.00238880932331085	0.012015094738506
ENSG00000256186.1	0	0
ENSG00000236743.1	0.0190972537249327	0.0279491738793715
ENSG00000236601.1	0	0
ENSG00000236679.2	0.00503296628594398	0.0173667114697055
ENSG00000231709.1	0.12240548491478	0.109450271034813
ENSG00000235146.2	0	0
ENSG00000239664.2	0.00465681135654449	0.0163679512081898
ENSG00000230021.3	0.107919336780906	0.0622375596187713
ENSG00000223659.1	0.00149285736680031	0.00635995654324091
ENSG00000225972.1	807.702113330841	2140.88490066909
ENSG00000225630.1	1278.1330770874	2624.31773564128
ENSG00000237973.1	1270.59829916382	3664.99462452364
ENSG00000229344.1	892.498573394775	2760.81939704802
ENSG00000268663.1	0.00733914139866829	0.0203080476184302
ENSG00000185097.2	0	0
ENSG00000229376.3	0.212363641574979	0.0918624354792821
ENSG00000224956.5	2.10640833854675	0.740819595948196
ENSG00000235373.1	0.0672496156692505	0.0401068622364366
ENSG00000223181.1	0	0
ENSG00000240618.1	0.513235046863556	0.611576610782726
ENSG00000229905.1	0.0174406313896179	0.0357669984243885
ENSG00000228327.2	2.74098063421249	1.07897068817528
ENSG00000237491.4	1.2276385267973	0.356358624191499
ENSG00000230092.3	0.370619860649109	0.262088622768958
ENSG00000269831.1	0.0590019874572754	0.110958137871482
ENSG00000177757.1	0.580794471874833	0.221097093659573
ENSG00000240453.1	0.155299370676279	0.129651374752014
ENSG00000225880.4	5.06259061431885	2.38893256491752
ENSG00000228794.4	11.8504983825684	2.04149562198815
ENSG00000230368.2	0.226548554643989	0.127727394809201
ENSG00000234711.1	0.046790076687932	0.0510986214864428
ENSG00000269308.1	0	0
ENSG00000272438.1	0.0267995883226395	0.0499375990141317
ENSG00000230699.2	0	0
ENSG00000223764.2	0.232809237897396	0.166905614574
ENSG00000187634.6	0.232266320720315	0.155001637394538
ENSG00000268179.1	0	0
ENSG00000188976.6	31.4919274139404	4.3724801680661
ENSG00000187961.9	11.9681033744812	3.62942131131812
ENSG00000187583.6	0.064299926623702	0.0952262191124138
ENSG00000187642.5	0.0318973516151309	0.051244920779746
ENSG00000272512.1	1.27033103981614	0.88350048200459
ENSG00000188290.6	2.9233125680685	1.9567106543078
ENSG00000231702.2	0.0426131114959717	0.116888367010882
