5sd	10sd	15sd	20sd	25sd	30sd	35sd	40sd
ENSG00000000003	0.146135206081328	0.102786221663513	0.0732885920108358	0.0694733299842514	0.0454436644162903	0.0322374961642627	0.0256791459168922	0.00855608021008165
ENSG00000000005	0.129858224015208	0.0882865910899068	0.0543132415237383	0.0320105724569567	0.029135836724863	0.0185828703778325	0.00954844617677961	0.00334329153864669
ENSG00000000419	0.116649807446298	0.116198182570858	0.0941453929817166	0.0760147881707102	0.0570781904136107	0.0433102051329333	0.0338056275675725	0.00255369996185743
ENSG00000000457	0.104509170251319	0.0946307841073559	0.0869687758710032	0.0801844906632097	0.0640082445326058	0.0565550937477159	0.0373597220007978	0.00379244053183587
ENSG00000000460	0.187658172728426	0.222334957807502	0.196928994542054	0.139920438596829	0.124104493915314	0.0997333995702302	0.0671948871746612	0.00274534604037886
ENSG00000000938	0.225305633349498	0.147544523620481	0.103895592760577	0.0647938971893696	0.0430995173407599	0.0374494386116116	0.0169396565269316	0.00503656168658346
ENSG00000000971	0.135682418404895	0.0882009847865136	0.0676038031355245	0.068061819049102	0.0500754854469251	0.0506614370550964	0.0349504072159893	0.00968069185212837
ENSG00000001036	0.143562491266455	0.120769583851384	0.120415476992401	0.103404349893682	0.087880588640994	0.0496815769734718	0.0365256053072218	0.00837565298302942
ENSG00000001084	0.147586002197397	0.124399111796455	0.11720697373777	0.115210179956453	0.105116137062257	0.106557633582508	0.0736932524076753	0.042507420758871
ENSG00000001167	0.182055774757432	0.194128347756024	0.159078276393704	0.126152118319528	0.110603002172204	0.093034665834845	0.0766326826923356	0.0232437966213692
ENSG00000001460	0.214973730092243	0.21496625821474	0.207583349124414	0.178163493956958	0.166116128002041	0.123552983784345	0.0926522960510123	0.0409828413953801
ENSG00000001461	0.17349610878898	0.174919177475334	0.152971507682606	0.121184187757433	0.0991516883388169	0.0732136005453616	0.041608964734064	0.003030192904449
ENSG00000001497	0.134586278588941	0.119219928718095	0.0943032906391889	0.0839789277256863	0.0721241875717658	0.0621249544468626	0.057639103473708	0.0239229332616051
ENSG00000001561	0.144096388003018	0.0964087616625376	0.0703938267095531	0.0574464362600905	0.0407843527154278	0.026546063002121	0.0161577530180918	0.0052512156777304
ENSG00000001617	0.140770381875345	0.0771760610931156	0.0550925224457208	0.041007733736438	0.030214859955395	0.0239433444759357	0.0148722966915085	0.00576413751087705
ENSG00000001626	0.134358026327496	0.0821001430918855	0.0459502549512739	0.0421009360771002	0.0200023071067866	0.0168715620965435	0.0111114971159454	0.00532927677218929
ENSG00000001629	0.148977928808609	0.171603947723551	0.157640478348625	0.139575286159047	0.118447141513256	0.101588192540556	0.0840670761896186	0.00260768048696613
ENSG00000001630	0.181627342887609	0.123914078016945	0.103547985741697	0.083948686407961	0.0610150957807665	0.0404965928142751	0.0303749762027248	0.00674311446980074
ENSG00000001631	0.106375788814551	0.0794716069726282	0.0471480744761202	0.0316890911946617	0.0252293808601262	0.0163322736189362	0.0114910045645472	0.00353646767982824
ENSG00000002016	0.118440100606533	0.0865709414430556	0.0564136336932277	0.0356562392131781	0.0243496419463619	0.0186167525214442	0.0132186271806486	0.00454857678669691
ENSG00000002330	0.0846850010526847	0.0698458510112368	0.0587305223199136	0.0550032661009097	0.0458407223177857	0.0382646146130574	0.0295666034529938	0.0067473698253787
ENSG00000002549	0.175099668370092	0.147885244479711	0.143983726192609	0.128771833830367	0.121807016356231	0.111811140452942	0.0918922962028404	0.00227834976695425
