Gene_symbol	Ensembl gene ID	Chrom	CDS_Begin	CDS_End	Essential	Non-essential	Overexpressed_in_the_brain	Exon_number	CDS_length	GC%
AGRN	ENSG00000188157	1	955503	991496	Y	N	N	36	6138	65.71
CDK11B	ENSG00000248333	1	1570603	1590473	Y	N	N	21	2358	52.93
GNB1	ENSG00000078369	1	1716725	1822502	Y	N	Y	12	1023	46.69
GABRD	ENSG00000187730	1	1950780	1962192	Y	N	Y	9	1359	62.48
SKI	ENSG00000157933	1	2160134	2241558	Y	N	N	7	2187	57.48
PRDM16	ENSG00000142611	1	2985732	3355185	Y	N	N	18	3831	57.58
TP73	ENSG00000078900	1	3569084	3652765	Y	N	Y	14	1911	59.52
ICMT	ENSG00000116237	1	6281252	6296032	Y	N	N	5	855	49.59
ERRFI1	ENSG00000116285	1	8064464	8086368	Y	N	N	4	1389	42.8
RERE	ENSG00000142599	1	8412457	8877702	Y	N	N	23	4701	41.9
ENO1	ENSG00000074800	1	8921061	8939308	Y	N	N	12	1305	50.23
CTNNBIP1	ENSG00000178585	1	9908334	9970394	Y	N	N	6	246	51.39
UBE4B	ENSG00000130939	1	10092890	10241297	Y	N	N	28	3909	44.12
KIF1B	ENSG00000054523	1	10270863	10441661	Y	N	Y	48	5472	41.99
PEX14	ENSG00000142655	1	10532345	10690815	Y	N	Y	9	1134	45.03
TARDBP	ENSG00000120948	1	11072414	11085796	Y	N	N	6	1245	44.02
MTOR	ENSG00000198793	1	11166592	11322564	Y	N	N	58	7650	44.54
MFN2	ENSG00000116688	1	12040238	12073571	Y	N	N	18	2274	51.12
VPS13D	ENSG00000048707	1	12290124	12572099	Y	N	Y	70	13167	42.33
PDPN	ENSG00000162493	1	13909960	13944452	Y	N	N	6	717	45.38
CASP9	ENSG00000132906	1	15817327	15853029	Y	N	N	8	1266	48.7
SPEN	ENSG00000065526	1	16174359	16266955	Y	N	N	15	10995	42.99
ZBTB17	ENSG00000116809	1	16268364	16302627	Y	N	N	16	2433	51.22
PAX7	ENSG00000009709	1	18957500	19075360	Y	N	N	8	1563	52.35
UBR4	ENSG00000127481	1	19401000	19536770	Y	N	N	107	15615	43.74
ECE1	ENSG00000117298	1	21543740	21671997	Y	N	N	19	2313	52.19
