Row.names	Mean_RPKM	SD_RPKM	Chimp_dN	Chimp_dS	Chimp_dN.dS	Mouse_dN	Mouse_dS	Mouse_dN.dS
1	ENSG00000000003.10	1.42352858767953	0.765008805134315	0	0	NA	0.0399	0.5368	0.074329359
2	ENSG00000000005.5	0.930471113189881	2.79795010478954	0.0016	0.0031	0.516129032	0.0173	0.3752	0.046108742
3	ENSG00000000419.8	18.0201942510383	5.37927416333124	0.0016	0.0069	0.231884058	0.0536	0.4881	0.109813563
4	ENSG00000000457.9	2.93153462576312	0.952188581075846	0.0071	0.0111	0.63963964	0.1152	0.506	0.227667984
5	ENSG00000000460.12	0.257901665546693	0.154395841832667	0.0039	0.0152	0.256578947	0.1668	0.4074	0.409425626
6	ENSG00000000938.8	1.04624385795621	0.633455562896963	0.0016	0.0229	0.069868996	0.0748	0.7503	0.099693456
7	ENSG00000000971.11	6.40814561428026	5.82128671705148	0.012	0.0212	0.566037736	0.21	1.324	0.158610272
8	ENSG00000001036.9	1.93910976579023	0.879958358534988	0.0023	0.0102	0.225490196	0.1078	0.6896	0.156322506
9	ENSG00000001084.6	2.69334812344507	0.975918458043684	7e-04	0.0023	0.304347826	0.0288	0.5331	0.054023635
10	ENSG00000001167.10	2.99301220927128	1.44540905678502	0	0.0156	0	0.0014	0.4016	0.003486056
11	ENSG00000001460.13	0.296134231144259	0.152244677852908	0.0332	0.0686	0.483965015	0.195	0.7881	0.247430529
12	ENSG00000001461.12	0.624749169152143	0.279867230205352	0.0033	0.0281	0.117437722	0.0492	0.7045	0.069836764
13	ENSG00000001497.12	4.45205943667611	1.77174365665756	0.0043	0.0053	0.811320755	0.179	0.5418	0.330380214
14	ENSG00000001561.6	7.94221688924834	3.85783104979182	9e-04	0	NA	0.1056	0.5009	0.210820523
15	ENSG00000001617.7	3.13269579535307	2.65838029205103	0.0096	0.0213	0.450704225	0.0169	0.6216	0.027187902
16	ENSG00000001626.10	0.0069961809114618	0.0112786824512095	0.0017	0.0063	0.26984127	0.1358	0.5851	0.232097077
17	ENSG00000001629.5	2.95646548825641	0.85012697913172	8e-04	0.0051	0.156862745	0.032	0.4339	0.073749712
18	ENSG00000001630.11	1.01091082957248	0.575055953274016	0.0035	0.0029	1.206896552	0.043	0.4479	0.096003572
